original_sentences,generated_sentences,embed1,embed2
Randy broke his leg in an accident. He was living with his girlfriend so she could take care of him. He was taking a long time to recover. Randy's girlfriend found out he was faking so she'd take care of him. She was so mad she kicked him out.,[PAD] [CLS] randy broke his leg in an accident. he was living with his girlfriend so she could take care of him. he was taking a long time to recover. randy's girlfriend found out he was faking so she'd take care of him. she was so mad she kicked him out. [SEP],1.0,1.0
Whitney has a dog. Her dog snores. The snoring sounds like a human. It shakes the bed. It rattles the room.,[PAD] [CLS] whitney has a dog. her dog snores. the snoring sounds like a human. it shakes the bed. it rattles the room. [SEP],1.0,1.0
"Jen and Ed were watching a detective show on tv. They were just about to find out who the murderer was. Jen's dad walked into the living room. He tripped over the television's cord, unplugging it. They never found out who did it!","[PAD] [CLS] jen and ed were watching a detective show on tv. they were just about to find out who the murderer was. jen's dad walked into the living room. he tripped over the television's cord, unplugging it. they never found out who did it! [SEP]",1.0,1.0
Alicia decided she needed to talk to Taylor. She was upset at her. When the girls talked they realized they shouldn't be friends. They gave one last hug and walked away. They both held back tears.,[PAD] [CLS] alicia decided she needed to talk to taylor. she was upset at her. when the girls talked they realized they shouldn't be friends. they gave one last hug and walked away. they both held back tears. [SEP],1.0,1.0
"Gina was walking to the bathroom. It was late, and the hallway was dark. She stepped on a hard, sharp toy. The toy lit up, and played a song. But all Gina cared about was the pain in her foot.","[PAD] [CLS] gina was walking to the bathroom. it was late, and the hallway was dark. she stepped on a hard, sharp toy. the toy lit up, and played a song. but all gina cared about was the pain in her foot. [SEP]",1.0,1.0
A man drove while listening to the radio. A new song came one that he really got into. He sang it without knowing the words that well. When the song was over he wondered what it was called. The man called the radio station to ask.,[PAD] [CLS] a man drove while listening to the radio. a new song came one that he really got into. he sang it without knowing the words that well. when the song was over he wondered what it was called. the man called the radio station to ask. [SEP],1.0,1.0
"Christy was driving on the highway. Suddenly, a cop turned on his lights. She pulled over and spoke with him. He told her that her tail light was out and ticketed her. She immediately went Somewhere to have the light fixed.","[PAD] [CLS] christy was driving on the highway. suddenly, a cop turned on his lights. she pulled over and spoke with him. he told her that her tail light was out and ticketed her. she immediately went somewhere to have the light fixed. [SEP]",1.0,1.0
"Avery had just moved into a new house. She liked it but there was an odd smell. She tried to search it out as well as she could, but didn't find it. As she added more items, she noticed the smell less and less. Soon enough, she had completely forgotten about it.","[PAD] [CLS] avery had just moved into a new house. she liked it but there was an odd smell. she tried to search it out as well as she could, but didn't find it. as she added more items, she noticed the smell less and less. soon enough, she had completely forgotten about it. [SEP]",1.0,1.0
My uncle showed up ringin my doorbell. I opened the door groggily. He handed me a large bag. It was filled with fresh ground deer meat. I put it in the freezer and thanked him.,[PAD] [CLS] my uncle showed up ringin my doorbell. i opened the door groggily. he handed me a large bag. it was filled with fresh ground deer meat. i put it in the freezer and thanked him. [SEP],1.0,1.0
Sam was feeling lonely. He decided to cheer himself up with a new pet. He went to the pet store on the weekend. He picked out a red colored parrot that he took home. Sam was no longer lonely with his new pet parrot.,[PAD] [CLS] sam was feeling lonely. he decided to cheer himself up with a new pet. he went to the pet store on the weekend. he picked out a red colored parrot that he took home. sam was no longer lonely with his new pet parrot. [SEP],1.0,1.0
Randy broke his leg in an accident. He was living with his girlfriend so she could take care of him. He was taking a long time to recover. Randy's girlfriend found out he was faking so she'd take care of him. She was so mad she kicked him out.,"[PAD] [CLS] randy broke his leg. he was living with his girlfriend. he was taking a lot of him. he was only bad, he was fa. [SEP]",1.0,0.0
Whitney has a dog. Her dog snores. The snoring sounds like a human. It shakes the bed. It rattles the room.,[PAD] [CLS] whitney has a dog. her dog snores. the snoring. it shakes the bed. [SEP],1.0,0.0
"Jen and Ed were watching a detective show on tv. They were just about to find out who the murderer was. Jen's dad walked into the living room. He tripped over the television's cord, unplugging it. They never found out who did it!","[PAD] [CLS] jen and were a state. they were watching a who the model was. jen's dad, he the model was. he tripped over the television's cord, and we did it [SEP]",1.0,0.0
Alicia decided she needed to talk to Taylor. She was upset at her. When the girls talked they realized they shouldn't be friends. They gave one last hug and walked away. They both held back tears.,[PAD] [CLS] alicia decided to talk to the. she was upset at her. when the girls talked they. they gave one last hug and walked her. [SEP],1.0,0.0
"Gina was walking to the bathroom. It was late, and the hallway was dark. She stepped on a hard, sharp toy. The toy lit up, and played a song. But all Gina cared about was the pain in her foot.","[PAD] [CLS] gina was walking. it was late, and the hallway was dark. she stepped on a lot, and played a song. the toy lit up, and [SEP]",1.0,0.0
A man drove while listening to the radio. A new song came one that he really got into. He sang it without knowing the words that well. When the song was over he wondered what it was called. The man called the radio station to ask.,[PAD] [CLS] he drove while. he was one. he was one that he really was into. he called it without the song that i was on. [SEP],1.0,0.0
"Christy was driving on the highway. Suddenly, a cop turned on his lights. She pulled over and spoke with him. He told her that her tail light was out and ticketed her. She immediately went Somewhere to have the light fixed.",[PAD] [CLS] he was playing. [SEP],1.0,0.0
"Avery had just moved into a new house. She liked it but there was an odd smell. She tried to search it out as well as she could, but didn't find it. As she added more items, she noticed the smell less and less. Soon enough, she had completely forgotten about it.","[PAD] [CLS] avery had just. she liked with a new house. she liked it but i could, but i could, but i were it. the she added more items, she noticed the smell his friend. [SEP]",1.0,0.0
My uncle showed up ringin my doorbell. I opened the door groggily. He handed me a large bag. It was filled with fresh ground deer meat. I put it in the freezer and thanked him.,[PAD] [CLS] my uncle showed up. i opened the whole i. he told me my lot. he was fresh ground. [SEP],1.0,0.0
Sam was feeling lonely. He decided to cheer himself up with a new pet. He went to the pet store on the weekend. He picked out a red colored parrot that he took home. Sam was no longer lonely with his new pet parrot.,[PAD] [CLS] sam was feeling. he decided to cheer himself. he went to the pet. he went to the pet every of he. [SEP],1.0,0.0
Randy broke his leg in an accident. He was living with his girlfriend so she could take care of him. He was taking a long time to recover. Randy's girlfriend found out he was faking so she'd take care of him. She was so mad she kicked him out.,[PAD] [CLS] randy broke his leg in an accident. he was living with his girlfriend so she could take care of him. he was taking a long time to recover. randy's girlfriend found out he was faking so she'd take care of him. she was so mad she kicked him out. [SEP],0.0,1.0
Whitney has a dog. Her dog snores. The snoring sounds like a human. It shakes the bed. It rattles the room.,[PAD] [CLS] whitney has a dog. her dog snores. the snoring sounds like a human. it shakes the bed. it rattles the room. [SEP],0.0,1.0
"Jen and Ed were watching a detective show on tv. They were just about to find out who the murderer was. Jen's dad walked into the living room. He tripped over the television's cord, unplugging it. They never found out who did it!","[PAD] [CLS] jen and ed were watching a detective show on tv. they were just about to find out who the murderer was. jen's dad walked into the living room. he tripped over the television's cord, unplugging it. they never found out who did it! [SEP]",0.0,1.0
Alicia decided she needed to talk to Taylor. She was upset at her. When the girls talked they realized they shouldn't be friends. They gave one last hug and walked away. They both held back tears.,[PAD] [CLS] alicia decided she needed to talk to taylor. she was upset at her. when the girls talked they realized they shouldn't be friends. they gave one last hug and walked away. they both held back tears. [SEP],0.0,1.0
"Gina was walking to the bathroom. It was late, and the hallway was dark. She stepped on a hard, sharp toy. The toy lit up, and played a song. But all Gina cared about was the pain in her foot.","[PAD] [CLS] gina was walking to the bathroom. it was late, and the hallway was dark. she stepped on a hard, sharp toy. the toy lit up, and played a song. but all gina cared about was the pain in her foot. [SEP]",0.0,1.0
